Id,Name,Speciality
00ee4e35-24db-34ae-8dc7-671a3334e674,Hunter Mclaughlin,GENERAL PRACTICE
013675fa-ab58-3681-978c-4491cac7420d,Sonia Hirthe,OPTOMETRY
01ceba1f-f0d8-34fe-9097-1021d77c38c6,Eloy Murazik,GENERAL PRACTICE
01d8c4e1-c711-3262-8484-cb83d9a364ac,Tula Paucek,INTERNAL MEDICINE
0209980c-ae5d-3a4d-ad53-ba1802529749,Gracia Johnson,PHYSICIAN ASSISTANT
02324944-b934-3d22-be33-f800570a96e1,Phil Goyette,ORTHOPEDIC SURGERY
025ef49c-0eea-3922-bf63-b91dbf7a31c4,France Ferry,GENERAL PRACTICE
0297be99-0b5f-3453-bc5e-432103246066,Wanda Muller,GENERAL PRACTICE
02c5d09c-1444-376e-8738-f924b6a79ef1,Regena Kunde,GENERAL PRACTICE
02e8ffa8-4215-3878-ac35-2dfdd56f99cb,Rogelio Cassin,ORTHOPEDIC SURGERY
03149e83-cbcd-3eca-aba8-1c0942ae074a,Arlen Nitzsche,GENERAL PRACTICE
0328ebed-9e0e-3a6b-a152-fde813161da9,Andrea Lueilwitz,OPTOMETRY
033fd413-31ce-32d2-b5bf-4ad28ea4e72b,Pilar Mesa,FAMILY PRACTICE
03b8f31c-073b-38ac-acef-f5726878d59c,Adan Leuschke,INTERNAL MEDICINE
03bbf6dd-cb84-3b11-b94d-3ade76f579f3,Ken Carter,INTERNAL MEDICINE
053b45b2-16d1-31b0-a50b-50422adfc2df,Norman O'hara,CLINICAL SOCIAL WORKER
05697f0f-cc72-3ace-b73b-ec6a470dcd29,Erma Hintz,CLINICAL PSYCHOLOGIST
05bff9b3-3764-3551-9d63-7cba331fef7a,Orville Balistreri,NURSE PRACTITIONER
05c658f9-34f1-3909-b03e-c396ec6a6e7b,Machelle Harber,INTERNAL MEDICINE
069af238-e074-30a4-8d04-f5b62999f247,Lauretta Welch,ORTHOPEDIC SURGERY
06aa549f-3e57-3180-ab94-815e2aff1537,Silvia Valle,GENERAL PRACTICE
06d09b54-7ff0-3ba5-b428-fa099fda9a30,Jamey Bailey,GENERAL PRACTICE
07059104-9092-33d8-9ee6-a7c4c1e3667f,Mose Marks,EMERGENCY MEDICINE
0735e72e-4fc6-3bf9-b4ca-d25819d5e06f,Martha Ledner,OPTOMETRY
0766a717-21b3-3f3d-a683-bdaf1bfaa1e2,Emil Mclaughlin,FAMILY PRACTICE
07b7abd4-e1a7-3118-ac71-eab0348453d3,Tinisha Balistreri,PHYSICIAN ASSISTANT
07d7601e-3cba-351d-8394-84fef0f2347e,Carletta Barton,OPTOMETRY
084612c6-4194-342a-8ca7-35704d6f2f01,Cyril Gulgowski,GENERAL PRACTICE
0854af91-d711-33ca-b9f0-c49b75477645,Loura Ankunding,GENERAL PRACTICE
0899dcd3-81a0-38a1-85b6-b5b1b3ec98f3,Ellan Jacobi,GENERAL PRACTICE
0a374966-302a-357d-b7d7-a532cc90a20c,Dorothea Runolfsdottir,FAMILY PRACTICE
0acfdbea-bbc2-384b-a539-d9e28797cd20,Grover Spencer,GENERAL PRACTICE
0b84384f-9363-3f32-937c-658aae9cbbba,Oda Wolf,INTERNAL MEDICINE
0ba4f7ac-6d77-3f20-814b-564db69c2edd,Emogene Jast,GENERAL PRACTICE
0bb47a4d-4620-3607-9efc-7f17e59b3f5e,Quintin Aufderhar,GENERAL PRACTICE
0bda84fc-a8f1-3fb1-a618-0ae5010f38b1,Lucia Segura,CLINICAL PSYCHOLOGIST
0be7ec5b-0343-3f97-a7fb-0cb7a2173951,Filiberto Sawayn,GENERAL PRACTICE
0e24e529-3950-3e77-ba77-4f58e79393d3,Reina Melgar,CLINICAL NURSE SPECIALIST
0e5d4269-9ca6-3e24-8f0c-96263cd1553c,Roscoe Greenholt,GENERAL PRACTICE
0e617244-e1b2-393e-99d3-907a6d0920a5,Forrest Schumm,GENERAL PRACTICE
0e87dcc1-d7ab-3d6f-8d0e-0de55a19e50e,Darrin Runolfsson,RHEUMATOLOGY
